 check_number session_start
0 6729 08:42:00.000
1 6982 15:30:00.000
2 8219 14:15:00.000
3 6116 15:00:00.000
4 7707 08:42:00.000
5 1032 21:00:00.000
6 9219 21:00:00.000
7 183 22:30:00.000
8 6775 06:00:00.000
9 7098 06:00:00.000
10 4923 21:00:00.000
11 1222 15:30:00.000
12 4997 21:00:00.000
13 2678 08:42:00.000
14 1592 07:00:00.000
15 819 21:00:00.000
16 6079 22:30:00.000
17 3944 22:30:00.000
18 2409 06:15:00.000
19 6916 21:00:00.000
20 3369 08:42:00.000
21 2798 23:42:00.000
22 3649 07:30:00.000
23 2851 23:42:00.000
24 5530 08:42:00.000
25 9069 23:42:00.000
26 9312 15:30:00.000
27 2922 07:00:00.000
28 6942 22:30:00.000
29 972 21:00:00.000
30 4757 23:42:00.000
31 5009 14:00:00.000
32 2674 22:30:00.000
33 1987 07:30:00.000
34 7989 23:42:00.000
35 2647 15:00:00.000
36 4501 14:15:00.000
37 3145 23:42:00.000
38 9122 21:00:00.000
39 7286 22:15:00.000
40 292 14:15:00.000
41 3551 07:30:00.000
42 4145 23:42:00.000
43 1783 08:42:00.000
44 2685 15:30:00.000
45 9902 15:30:00.000
46 5694 15:34:00.000
47 2936 14:15:00.000
48 1404 14:15:00.000
49 7165 06:00:00.000
50 9214 22:30:00.000
51 9470 21:00:00.000
52 7638 22:30:00.000
53 6368 06:00:00.000
54 9419 15:30:00.000
55 3275 08:42:00.000
56 4584 22:30:00.000
57 331 22:30:00.000
58 421 15:00:00.000
59 5873 15:34:00.000
60 9984 06:00:00.000
61 3230 08:42:00.000
62 3301 21:00:00.000
63 5618 21:00:00.000
64 2857 15:34:00.000
65 5669 15:34:00.000
66 4194 14:00:00.000
67 8749 06:00:00.000
68 4535 22:30:00.000
69 9992 14:00:00.000
70 1256 15:30:00.000
71 6946 22:30:00.000
72 8511 06:00:00.000
73 760 06:15:00.000
74 3064 22:30:00.000
75 9565 06:15:00.000
76 769 07:30:00.000
77 800 06:15:00.000
78 4646 08:42:00.000
79 1954 06:00:00.000
80 1402 23:42:00.000
