API,Year,Month,Liquid,Gas,RatioGasOil,Water,PercentWater,DaysOn,_LastUpdate
5005072170100,2014,11,9783,11470,1.17244199120924,10558,1.07921905346008,14,2016-04-06 17:20:05.757
5005072170100,2014,12,24206,26476,1.09377840204908,5719,0.23626373626373606,31,2016-04-06 17:20:05.757
5005072170100,2015,1,20449,26381,1.29008753484278,2196,0.107389114382121,31,2016-04-06 17:20:05.757
5005072170100,2015,2,6820,10390,1.52346041055718,583,0.0854838709677419,28,2016-04-06 17:20:05.757
5005072170100,2015,3,7349,7005,0.953190910327936,122,0.0166008980813716,13,2016-06-16 14:07:33.203
5005072170100,2015,4,16552,19802,1.19635089415176,902,0.0544949250845819,30,2016-04-06 17:20:05.757
5005072170100,2015,5,13844,30241,2.1844120196475,1003,0.0724501589136088,31,2016-04-06 17:20:05.757
5005072170100,2015,6,10655,27885,2.61708118254341,686,0.0643829188174566,30,2016-04-06 17:20:05.757
5005072170100,2015,7,6135,15585,2.5403422982885098,275,0.0448247758761206,25,2016-04-06 17:20:05.757
5005072170100,2015,8,11105,21119,1.90175596578118,471,0.0424133273300315,31,2016-04-06 17:20:05.757
5005072170100,2015,9,7903,21089,2.66848032392762,420,0.0531443755535872,30,2016-06-16 14:07:33.203
5005072170100,2015,10,4700,12948,2.75489361702128,239,0.0508510638297872,31,2016-06-16 14:07:33.203
5005072170100,2015,11,6774,10748,1.58665485680543,383,0.0565397106583998,22,2016-06-16 14:07:33.203
5005072170100,2015,12,7115,15985,2.2466619817287405,389,0.0546732255797611,31,2016-04-06 17:20:05.757
5005072170100,2016,1,6547,22480,3.4336337253704,357,0.0545287918130441,31,2016-04-06 17:20:05.757
5005072170100,2016,2,5117,16072,3.14090287277702,270,0.052765292163377,29,2016-05-26 14:06:53.487
5005072170100,2016,3,5280,15015,2.84375,242,0.0458333333333333,31,2016-05-26 14:06:53.487
5005072170100,2016,4,4762,13635,2.86329273414532,236,0.0495590088198236,30,2016-06-23 14:03:21.150
5005072170100,2016,5,4962,14468,2.91575977428456,250,0.0503829101168883,31,2016-09-01 14:08:41.917
